season,episode_number,rating,rating_count
5,60,N/A,N/A
6,60,N/A,N/A
7,60,N/A,N/A
8,60,7.8,5
9,60,6.4,7
10,60,6.8,8
11,60,7.5,8
12,60,6.3,12
13,60,6.4,8
14,60,8.3,12
15,60,7.0,13
16,60,6.6,9
17,60,7.2,17
18,60,7.2,17
19,60,7.5,16
20,60,8.0,24
1,61,N/A,N/A
2,61,N/A,N/A
3,61,N/A,N/A
4,61,N/A,N/A
5,61,N/A,N/A
6,61,N/A,N/A
7,61,N/A,N/A
8,61,5.0,10
9,61,5.4,9
10,61,6.5,8
11,61,3.6,29
12,61,6.5,10
13,61,6.5,10
14,61,7.7,13
15,61,6.6,14
16,61,7.1,15
17,61,7.2,16
18,61,7.4,19
19,61,7.7,17
20,61,8.0,23
1,62,N/A,N/A
2,62,N/A,N/A
3,62,N/A,N/A
4,62,N/A,N/A
5,62,N/A,N/A
6,62,N/A,N/A
7,62,N/A,N/A
8,62,N/A,N/A
9,62,6.7,7
10,62,6.1,8
11,62,7.1,9
12,62,6.3,10
13,62,6.1,9
14,62,7.6,12
15,62,5.8,13
16,62,6.2,12
17,62,7.3,11
18,62,7.2,20
19,62,7.4,19
20,62,7.9,26
1,63,N/A,N/A
2,63,N/A,N/A
3,63,N/A,N/A
4,63,N/A,N/A
5,63,8.3,7
6,63,N/A,N/A
7,63,N/A,N/A
8,63,N/A,N/A
9,63,7.8,12
10,63,6.8,8
11,63,3.6,25
12,63,6.5,10
13,63,6.3,11
14,63,7.5,13
15,63,5.1,12
16,63,7.1,12
17,63,7.7,14
18,63,7.4,20
19,63,7.5,20
20,63,8.0,24
1,64,N/A,N/A
2,64,N/A,N/A
3,64,N/A,N/A
4,64,N/A,N/A
5,64,N/A,N/A
6,64,N/A,N/A
7,64,N/A,N/A
8,64,N/A,N/A
9,64,5.3,10
10,64,6.2,9
11,64,7.5,8
12,64,6.5,10
13,64,6.5,11
14,64,7.5,13
15,64,6.7,15
16,64,6.6,10
17,64,7.5,21
18,64,7.1,17
19,64,7.9,18
20,64,8.0,22
1,65,N/A,N/A
2,65,N/A,N/A
3,65,N/A,N/A
4,65,6.9,7
5,65,N/A,N/A
6,65,N/A,N/A
7,65,N/A,N/A
